Time(longsecs),Time(UTC),Earth location,GPS receiver status,GPS satellites used,Timing status,Phase lock loop status,Time uncertainty(ns),Timing DAC count,Time quality(&#37;),Time error(ns),
1484242740,2017-01-12 17:39:00.000,43.627224N 116.234258W 796m,GPS unlocked,0,Time init,No lock,120000000000,9011,0,0,
1484242800,2017-01-12 17:40:00.000,43.627224N 116.234258W 796m,GPS unlocked,0,Time init,No lock,120000000000,9011,0,0,
1484242860,2017-01-12 17:41:00.000,43.627224N 116.234258W 796m,GPS unlocked,0,Time init,No lock,120000000000,9011,0,0,
1484242920,2017-01-12 17:42:00.000,43.627224N 116.234258W 796m,GPS unlocked,0,Time init,No lock,120000000000,9011,0,0,
1484242980,2017-01-12 17:43:00.000,43.627224N 116.234258W 796m,GPS unlocked,0,Time init,No lock,120000000000,9011,0,0,
1484243040,2017-01-12 17:44:00.000,43.627224N 116.234258W 796m,GPS unlocked,0,Time error,No lock,120000000000,9011,0,0,
1484243100,2017-01-12 17:45:00.000,43.627224N 116.234258W 796m,GPS unlocked,0,Time error,No lock,120000000000,9011,0,0,
1484243160,2017-01-12 17:46:00.000,43.627224N 116.234258W 796m,GPS unlocked,0,Time error,No lock,120000000000,9011,0,0,
1484243220,2017-01-12 17:47:00.000,43.627224N 116.234258W 796m,GPS unlocked,0,Time error,No lock,120000000000,9011,0,0,
1484243280,2017-01-12 17:48:00.000,43.627224N 116.234258W 796m,GPS unlocked,0,Time error,No lock,120000000000,9011,0,0,
1484243340,2017-01-12 17:49:00.000,43.627224N 116.234258W 796m,GPS unlocked,0,Time error,No lock,120000000000,9011,0,0,
1484243400,2017-01-12 17:50:00.000,43.627224N 116.234258W 796m,GPS unlocked,0,Time error,No lock,120000000000,9011,0,0,
1484243460,2017-01-12 17:51:00.000,43.627224N 116.234258W 796m,GPS unlocked,0,Time error,No lock,120000000000,9011,0,0,
1484243520,2017-01-12 17:52:00.000,43.627224N 116.234258W 796m,GPS unlocked,0,Time error,No lock,120000000000,9011,0,0,
1484243580,2017-01-12 17:53:00.000,43.627224N 116.234258W 796m,GPS unlocked,0,Time error,No lock,120000000000,9011,0,0,
1484243640,2017-01-12 17:54:00.000,43.627224N 116.234258W 796m,Off,0,Time error,No lock,120000000000,9011,0,0,
1484243700,2017-01-12 17:55:00.000,43.627224N 116.234258W 796m,GPS unlocked,0,Time error,No lock,120000000000,9011,0,0,
1484243760,2017-01-12 17:56:00.000,43.627224N 116.234258W 796m,GPS unlocked,0,Time error,No lock,120000000000,9011,0,0,
1484243820,2017-01-12 17:57:00.000,43.627224N 116.234258W 796m,GPS unlocked,0,Time error,No lock,120000000000,9011,0,0,
1484243880,2017-01-12 17:58:00.000,43.627224N 116.234258W 796m,GPS unlocked,0,Time error,No lock,120000000000,9011,0,0,
1484243940,2017-01-12 17:59:00.000,43.627224N 116.234258W 796m,GPS unlocked,0,Time error,No lock,120000000000,9011,0,0,
