Time(longsecs),Time(UTC),Supply voltage(V),Total current(A),Temperature(&deg;C),
1484242740,2017-01-12 17:39:00.000,1.2413019689999999E1,8.1113553113472E-2,2.225E1,
1484242800,2017-01-12 17:40:00.000,1.2426482835E1,7.6659340659264E-2,2.25E1,
1484242860,2017-01-12 17:41:00.000,1.2426482835E1,7.5252747252672E-2,2.275E1,
1484242920,2017-01-12 17:42:00.000,1.243994598E1,7.4315018314944E-2,2.3E1,
1484242980,2017-01-12 17:43:00.000,1.243994598E1,7.103296703289601E-2,2.3E1,
1484243040,2017-01-12 17:44:00.000,1.243994598E1,7.150183150176001E-2,2.325E1,
1484243100,2017-01-12 17:45:00.000,1.243994598E1,7.220512820505601E-2,2.35E1,
1484243160,2017-01-12 17:46:00.000,1.243994598E1,7.5487179487104E-2,2.35E1,
1484243220,2017-01-12 17:47:00.000,1.243994598E1,7.3611721611648E-2,2.375E1,
1484243280,2017-01-12 17:48:00.000,1.2426482835E1,7.6893772893696E-2,2.4E1,
1484243340,2017-01-12 17:49:00.000,1.243994598E1,7.2908424908352E-2,2.4E1,
1484243400,2017-01-12 17:50:00.000,1.2426482835E1,7.1970695970624E-2,2.425E1,
1484243460,2017-01-12 17:51:00.000,1.243994598E1,7.1267399267328E-2,2.425E1,
1484243520,2017-01-12 17:52:00.000,1.243994598E1,7.1267399267328E-2,2.425E1,
1484243580,2017-01-12 17:53:00.000,1.2426482835E1,7.4080586080512E-2,2.45E1,
1484243640,2017-01-12 17:54:00.000,1.243994598E1,7.0564102564032E-2,2.45E1,
1484243700,2017-01-12 17:55:00.000,1.243994598E1,6.9626373626304E-2,2.45E1,
1484243760,2017-01-12 17:56:00.000,1.243994598E1,7.0564102564032E-2,2.45E1,
1484243820,2017-01-12 17:57:00.000,1.243994598E1,7.103296703289601E-2,2.475E1,
1484243880,2017-01-12 17:58:00.000,1.243994598E1,7.03296703296E-2,2.475E1,
1484243940,2017-01-12 17:59:00.000,1.243994598E1,6.986080586073601E-2,2.475E1,
